,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
215,Romania,Czechoslovakia,0,1,away_team,False,False,False,,Preliminary,Bucureşti,,1954
216,Ireland,Luxembourg,4,0,home_team,False,False,False,,Preliminary,Dublin,,1954
217,Greece,Israel,1,0,home_team,False,False,False,,Preliminary,Athína,,1954
218,Scotland,Wales,3,3,draw,False,False,False,,Preliminary,Glasgow,,1954
219,Saarland,Norway,0,0,draw,False,False,False,,Preliminary,Saarbrücken,,1954
220,Czechoslovakia,Bulgaria,0,0,draw,False,False,False,,Preliminary,Bratislava,,1954
221,Yugoslavia,Israel,1,0,home_team,False,False,False,,Preliminary,Skopje,,1954
222,England,Northern Ireland,3,1,home_team,False,False,False,,Preliminary,Liverpool,,1954
223,Egypt,Italy,1,2,away_team,False,False,False,,Preliminary,Cairo,,1954
224,FRG,Norway,5,1,home_team,False,False,False,,Preliminary,Hamburg,,1954
225,France,Ireland,1,0,home_team,False,False,False,,Preliminary,Paris,,1954
226,Portugal,Austria,0,0,draw,False,False,False,,Preliminary,Lisboa,,1954
227,France,Luxembourg,8,0,home_team,False,False,False,,Preliminary,Paris,,1954
228,Haiti,Mexico,0,4,away_team,False,False,False,,Preliminary,Port-au-Prince,,1954
229,Spain,Turkey,4,1,home_team,False,False,False,,Preliminary,Madrid,,1954
230,USA,Mexico,0,4,away_team,False,False,False,,Preliminary,México DF,,1954
231,Mexico,USA,3,1,home_team,False,False,False,,Preliminary,México DF,,1954
232,Italy,Egypt,5,1,home_team,False,False,False,,Preliminary,Milano,,1954
233,Paraguay,Chile,4,0,home_team,False,False,False,,Preliminary,Asunción,,1954
234,Chile,Paraguay,1,3,away_team,False,False,False,,Preliminary,Santiago,,1954
235,Chile,Brazil,0,2,away_team,False,False,False,,Preliminary,Santiago,,1954
236,Luxembourg,Ireland,0,1,away_team,False,False,False,,Preliminary,Luxembourg,,1954
237,Paraguay,Brazil,0,1,away_team,False,False,False,,Preliminary,Asunción,,1954
238,Japan,South Korea,1,5,away_team,False,False,False,,Preliminary,Tokyo,,1954
239,Israel,Greece,0,2,away_team,False,False,False,,Preliminary,Tel Aviv,,1954
240,Turkey,Spain,1,0,home_team,False,False,False,,Preliminary,İstanbul,,1954
241,Brazil,Chile,1,0,home_team,False,False,False,,Preliminary,Rio de Janeiro,,1954
242,South Korea,Japan,2,2,draw,False,False,False,,Preliminary,Tokyo,,1954
243,Turkey,Spain,2,2,draw,False,False,False,,Preliminary,Roma,,1954
244,Israel,Yugoslavia,0,1,away_team,False,False,False,,Preliminary,Tel Aviv,,1954
245,Brazil,Paraguay,4,1,home_team,False,False,False,,Preliminary,Rio de Janeiro,,1954
246,Saarland,FRG,1,3,away_team,False,False,False,,Preliminary,Saarbrücken,,1954
247,Greece,Yugoslavia,0,1,away_team,False,False,False,,Preliminary,Athína,,1954
248,Wales,Northern Ireland,1,2,away_team,False,False,False,,Preliminary,Wrexham,,1954
249,Scotland,England,2,4,away_team,False,False,False,,Preliminary,Glasgow,,1954
250,Haiti,USA,2,3,away_team,False,False,False,,Preliminary,Port-au-Prince,,1954
251,USA,Haiti,3,0,home_team,False,False,False,,Preliminary,Port-au-Prince,,1954
252,West Germany,Argentina,3,1,home_team,False,False,False,1958-06-08,Group Stage,Malmo,,1958
253,Northern Ireland,Czechoslovakia,1,0,home_team,False,False,False,1958-06-08,Group Stage,Halmstad,,1958
254,France,Paraguay,7,3,home_team,False,False,False,1958-06-08,Group Stage,Norrkoping,,1958
255,Yugoslavia,Scotland,1,1,draw,False,False,False,1958-06-08,Group Stage,Vasteras,,1958
256,Sweden,Mexico,3,0,home_team,False,False,False,1958-06-08,Group Stage,Stockholm,,1958
257,Hungary,Wales,1,1,draw,False,False,False,1958-06-08,Group Stage,Sandviken,,1958
258,England,Soviet Union,2,2,draw,False,False,False,1958-06-08,Group Stage,Gothenburg,,1958
259,Brazil,Austria,3,0,home_team,False,False,False,1958-06-08,Group Stage,Uddevalla,,1958
260,France,Yugoslavia,2,3,away_team,False,False,False,1958-06-11,Group Stage,Vasteras,,1958
