id_match,home_team,away_team,home_score,away_score,date,round,city,edition
208,West Germany,Morocco,2,1,1970-06-03,Group Stage,Leon,1970
209,Peru,Bulgaria,3,2,1970-06-02,Group Stage,Leon,1970
210,Soviet Union,Belgium,4,1,1970-06-06,Group Stage,Mexico City,1970
211,Mexico,El Salvador,4,0,1970-06-07,Group Stage,Mexico City,1970
212,Uruguay,Italy,0,0,1970-06-06,Group Stage,Puebla,1970
213,Sweden,Israel,1,1,1970-06-07,Group Stage,Toluca,1970
214,Romania,Czechoslovakia,2,1,1970-06-06,Group Stage,Guadalajara,1970
215,Brazil,England,1,0,1970-06-07,Group Stage,Guadalajara,1970
216,Peru,Morocco,3,0,1970-06-06,Group Stage,Leon,1970
217,West Germany,Bulgaria,5,2,1970-06-07,Group Stage,Leon,1970
218,Soviet Union,El Salvador,2,0,1970-06-10,Group Stage,Mexico City,1970
219,Mexico,Belgium,1,0,1970-06-11,Group Stage,Mexico City,1970
220,Sweden,Uruguay,1,0,1970-06-10,Group Stage,Puebla,1970
221,Italy,Israel,0,0,1970-06-11,Group Stage,Toluca,1970
222,Brazil,Romania,3,2,1970-06-10,Group Stage,Guadalajara,1970
223,England,Czechoslovakia,1,0,1970-06-11,Group Stage,Guadalajara,1970
224,West Germany,Peru,3,1,1970-06-10,Group Stage,Leon,1970
225,Bulgaria,Morocco,1,1,1970-06-11,Group Stage,Leon,1970
226,Uruguay,Soviet Union,1,0,1970-06-14,Quarter-finals,Mexico City,1970
227,Italy,Mexico,4,1,1970-06-14,Quarter-finals,Toluca,1970
228,Brazil,Peru,4,2,1970-06-14,Quarter-finals,Guadalajara,1970
229,West Germany,England,3,2,1970-06-14,Quarter-finals,Leon,1970
230,Italy,West Germany,4,3,1970-06-17,Semi-finals,Mexico City,1970
231,Brazil,Uruguay,3,1,1970-06-17,Semi-finals,Guadalajara,1970
232,West Germany,Uruguay,1,0,1970-06-20,Third Place,Mexico City,1970
233,Brazil,Italy,4,1,1970-06-21,Final,Mexico City,1970
234,Brazil,Yugoslavia,0,0,1974-06-13,Group Stage,Frankfurt,1974
235,West Germany,Chile,1,0,1974-06-14,Group Stage,Berlin,1974
236,Scotland,Zaire,2,0,1974-06-14,Group Stage,Dortmund,1974
237,Australia,East Germany,0,2,1974-06-14,Group Stage,Hamburg,1974
238,Netherlands,Uruguay,2,0,1974-06-15,Group Stage,Hanover,1974
239,Sweden,Bulgaria,0,0,1974-06-15,Group Stage,Dusseldorf,1974
240,Italy,Haiti,3,1,1974-06-15,Group Stage,Munich,1974
241,Poland,Argentina,3,2,1974-06-15,Group Stage,Stuttgart,1974
242,Yugoslavia,Zaire,9,0,1974-06-18,Group Stage,Gelsenkirchen,1974
243,Brazil,Scotland,0,0,1974-06-18,Group Stage,Frankfurt,1974
244,West Germany,Australia,3,0,1974-06-18,Group Stage,Hamburg,1974
245,East Germany,Chile,1,1,1974-06-18,Group Stage,Berlin,1974
246,Netherlands,Sweden,0,0,1974-06-19,Group Stage,Dortmund,1974
247,Bulgaria,Uruguay,1,1,1974-06-19,Group Stage,Hanover,1974
248,Argentina,Italy,1,1,1974-06-19,Group Stage,Stuttgart,1974
249,Poland,Haiti,7,0,1974-06-19,Group Stage,Munich,1974
250,Scotland,Yugoslavia,1,1,1974-06-22,Group Stage,Frankfurt,1974
251,Brazil,Zaire,3,0,1974-06-22,Group Stage,Gelsenkirchen,1974
252,West Germany,East Germany,0,1,1974-06-22,Group Stage,Hamburg,1974
253,Chile,Australia,0,0,1974-06-22,Group Stage,Berlin,1974
254,Netherlands,Bulgaria,4,1,1974-06-23,Group Stage,Dortmund,1974
255,Sweden,Uruguay,3,0,1974-06-23,Group Stage,Dusseldorf,1974
256,Argentina,Haiti,4,1,1974-06-23,Group Stage,Munich,1974
